condition,tick,source,cell_type,transmitter_sign,target,forecast,source_spike,source_sensory_input,source_observed_current,arrival_count,signed_recurrent_current,retained_eligibility,weight_update_proposal
initial,232,20655,L2,1.0,-1.0,-0.021339239552617073,False,-30.0,-23.867406845092773,0,0.01860404945909977,1.0985697507858276,-0.0107512716203928
initial,232,26550,L1,-1.0,-1.0,-0.021339239552617073,False,-30.0,-23.867406845092773,0,-0.03303451091051102,-1.0984411239624023,0.01075001247227192
initial,233,20655,L2,1.0,0.0,-0.014430459588766098,False,0.0,-22.656129837036133,0,0.01510530337691307,0.7427542805671692,0.0
initial,233,26550,L1,-1.0,0.0,-0.014430459588766098,False,0.0,-22.656129837036133,0,-0.026821918785572052,-0.7427300810813904,0.0
initial,234,20655,L2,1.0,0.0,-0.014430459588766098,False,0.0,-21.506324768066406,0,0.012264544144272804,0.7427542805671692,0.0
initial,234,26550,L1,-1.0,0.0,-0.014430459588766098,False,0.0,-21.506324768066406,0,-0.021777689456939697,-0.7427300810813904,0.0
initial,235,20655,L2,1.0,0.0,-0.014430459588766098,False,0.0,-20.414873123168945,0,0.009958028793334961,0.7427542805671692,0.0
initial,235,26550,L1,-1.0,0.0,-0.014430459588766098,False,0.0,-20.414873123168945,0,-0.017682097852230072,-0.7427300810813904,0.0
initial,236,20655,L2,1.0,0.0,-0.014430459588766098,False,0.0,-19.378812789916992,0,0.008085285313427448,0.7427542805671692,0.0
initial,236,26550,L1,-1.0,0.0,-0.014430459588766098,False,0.0,-19.378812789916992,0,-0.014356737025082111,-0.7427300810813904,0.0
initial,237,20655,L2,1.0,0.0,-0.014430459588766098,False,0.0,-18.39533233642578,0,0.00656473683193326,0.7427542805671692,0.0
initial,237,26550,L1,-1.0,0.0,-0.014430459588766098,False,0.0,-18.39533233642578,0,-0.01165675651282072,-0.7427300810813904,0.0
initial,238,20655,L2,1.0,0.0,-0.014430459588766098,False,0.0,-17.46176528930664,0,0.0053301481530070305,0.7427542805671692,0.0
initial,238,26550,L1,-1.0,0.0,-0.014430459588766098,False,0.0,-17.46176528930664,0,-0.009464544244110584,-0.7427300810813904,0.0
initial,239,20655,L2,1.0,0.0,-0.014430459588766098,False,0.0,-16.575576782226562,0,0.004327740985900164,0.7427542805671692,0.0
initial,239,26550,L1,-1.0,0.0,-0.014430459588766098,False,0.0,-16.575576782226562,0,-0.007684607058763504,-0.7427300810813904,0.0
initial,240,20655,L2,1.0,0.0,-0.014430459588766098,False,0.0,-15.73436164855957,0,0.003513850038871169,0.7427542805671692,0.00010718285193433985
initial,240,26550,L1,-1.0,0.0,-0.014430459588766098,False,0.0,-15.73436164855957,0,-0.006239411421120167,-0.7427300810813904,-0.00010717935947468504
initial,241,20655,L2,1.0,0.0,-0.002725561149418354,False,0.0,-14.93583869934082,0,0.0028530224226415157,0.14028812944889069,0.0
initial,241,26550,L1,-1.0,0.0,-0.002725561149418354,False,0.0,-14.93583869934082,0,-0.005066004581749439,-0.14028353989124298,0.0
initial,242,20655,L2,1.0,0.0,-0.002725561149418354,False,0.0,-14.177841186523438,0,0.0023164725862443447,0.14028812944889069,0.0
initial,242,26550,L1,-1.0,0.0,-0.002725561149418354,False,0.0,-14.177841186523438,0,-0.004113273229449987,-0.14028353989124298,0.0
initial,243,20655,L2,1.0,0.0,-0.002725561149418354,False,0.0,-13.458312034606934,0,0.0018808281747624278,0.14028812944889069,0.0
initial,243,26550,L1,-1.0,0.0,-0.002725561149418354,False,0.0,-13.458312034606934,0,-0.00333971600048244,-0.14028353989124298,0.0
initial,244,20655,L2,1.0,0.0,-0.002725561149418354,False,0.0,-12.775299072265625,0,0.0015271126758307219,0.14028812944889069,0.0
